range_start,range_end,AS_number,country_code,AS_description
111.0.0.0,111.0.8.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.0.9.0,111.0.19.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.0.20.0,111.0.239.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.0.240.0,111.1.18.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.1.19.0,111.1.21.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.1.22.0,111.1.143.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.1.144.0,111.1.151.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.1.152.0,111.2.31.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.2.32.0,111.2.65.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.2.66.0,111.2.84.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.2.85.0,111.2.95.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.2.96.0,111.2.199.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.2.200.0,111.2.219.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.2.220.0,111.2.253.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.2.254.0,111.3.3.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.3.4.0,111.3.11.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.3.12.0,111.3.39.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.3.40.0,111.3.59.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.3.60.0,111.3.127.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.3.128.0,111.3.191.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.3.192.0,111.3.255.255,56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
111.4.0.0,111.4.37.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.38.0,111.4.39.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.40.0,111.4.63.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.64.0,111.4.79.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.80.0,111.4.103.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.104.0,111.4.145.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.146.0,111.4.192.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.193.0,111.4.194.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.195.0,111.4.196.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.197.0,111.4.198.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.199.0,111.4.200.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.201.0,111.4.202.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.203.0,111.4.208.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.209.0,111.4.210.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.211.0,111.4.212.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.213.0,111.4.214.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.215.0,111.4.216.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.4.217.0,111.4.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.5.0.0,111.6.75.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.6.76.0,111.6.95.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.6.96.0,111.6.103.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.6.104.0,111.6.119.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.6.120.0,111.6.161.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.6.162.0,111.6.191.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.6.192.0,111.6.199.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.6.200.0,111.6.207.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.6.208.0,111.6.211.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.6.212.0,111.6.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.7.0.0,111.7.63.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.64.0,111.7.113.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.7.114.0,111.7.115.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.116.0,111.7.119.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.7.120.0,111.7.131.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.132.0,111.7.133.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.134.0,111.7.156.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.157.0,111.7.159.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.160.0,111.7.191.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.7.192.0,111.7.201.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.202.0,111.7.203.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.7.204.0,111.7.206.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.7.207.0,111.7.255.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.8.0.0,111.8.1.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.2.0,111.8.9.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.8.10.0,111.8.63.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
